SCHOOLJAAR 2013-2014 IN HET MBO (peildatum 1 oktober 2013);;;;;SCHOOLJAAR 2014-2015 IN HET HBO (peildatum 1 oktober 2014);;;
BRIN NUMMER ;INSTELLINGSNAAM ;MBO SECTOR;LEERWEG MBO;KWALIFICATIENIVEAU;BRIN NUMMER;INSTELLINGSNAAM ;CROHO ONDERDEEL;AANTAL DOORSTROMERS
25LF;Regionaal Opleidingen Centrum Rijn IJssel;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;10
25LG;Regionaal Opleidingen Centrum Friesland College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25LH;Stichting ROC Midden Nederland;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LH;Stichting ROC Midden Nederland;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LH;Stichting ROC Midden Nederland;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LH;Stichting ROC Midden Nederland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LH;Stichting ROC Midden Nederland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LN;Regionaal Opleidingen Centrum;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LN;Regionaal Opleidingen Centrum;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LN;Regionaal Opleidingen Centrum;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LP;Zadkine;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LU;Regionaal Opleidingen Centrum Alfa- college;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LU;Regionaal Opleidingen Centrum Alfa- college;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LU;Regionaal Opleidingen Centrum Alfa- college;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LV;Scholengemeenschap De Rooi Pannen;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25LV;Scholengemeenschap De Rooi Pannen;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LW;Stichting voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet onderwijs;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LW;Stichting voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet onderwijs;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LX;ROC West-Brabant;techniek;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LZ;Regionaal Opleidingen Centrum Tilburg;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LZ;Regionaal Opleidingen Centrum Tilburg;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25MA;Regionaal Opleidingen Centrum Leiden Duin- en Bollenstreek;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25MA;Regionaal Opleidingen Centrum Leiden Duin- en Bollenstreek;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25MB;Stg ROC Summa College;economie;BBL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25MB;Stg ROC Summa College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PJ;Deltion College;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;3
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;5
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;4
25PJ;Deltion College;techniek;examendeelnemer;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25PJ;Deltion College;techniek;examendeelnemer;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PM;Regionaal Opleidingen Centrum A12;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PM;Regionaal Opleidingen Centrum A12;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25PN;Regionaal Opleidingen Centrum Nijmegen eo;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PN;Regionaal Opleidingen Centrum Nijmegen eo;economie;BBL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PN;Regionaal Opleidingen Centrum Nijmegen eo;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25PU;Regionaal Opleidingen Centrum Arcus College;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
25PU;Regionaal Opleidingen Centrum Arcus College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PX;Regionaal Opleidingen Centrum Nova College;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PZ;ROC van Amsterdam;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;4
25PZ;ROC van Amsterdam;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;2
25PZ;ROC van Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25PZ;ROC van Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;5
25PZ;ROC van Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;2
26CC;Helicon Opleidingen;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
27GZ;ROC Mondriaan;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
27GZ;ROC Mondriaan;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
27GZ;ROC Mondriaan;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
27YU;Regionaal Opleidingencentrum van Twente;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
27YU;Regionaal Opleidingencentrum van Twente;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
28CJ;Philipse Business School;economie;BBL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
28DE;ROC de Leijgraaf;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
29ZY;Stichting De Nederlandse Fotovakschool;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
30BC;SiNTLUCAS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;3
30BC;SiNTLUCAS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;12
30BC;SiNTLUCAS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;4
30RM;Stichting ROC TOP;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
30RN;Stichting Interconfessioneel Beroepsonderwijs Volwasseneneducatie regio Utrecht;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
30RN;Stichting Interconfessioneel Beroepsonderwijs Volwasseneneducatie regio Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
30RN;Stichting Interconfessioneel Beroepsonderwijs Volwasseneneducatie regio Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
30RN;Stichting Interconfessioneel Beroepsonderwijs Volwasseneneducatie regio Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
30RR;Stichting Interconf. Beroepsonderwijs en Volwasseneneducatie Regio Amersfoort;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
00GT;Regionaal Opleidingen Centrum Albeda College;zorg en welzijn;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
01AA;Landstede;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
01AA;Landstede;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;techniek;1
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;60
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;9
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;3
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;5
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;20
01AA;Landstede;economie;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;2
01AA;Landstede;economie;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;10
01AA;Landstede;zorg en welzijn;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;7
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;70
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;17
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;26
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
01AA;Landstede;zorg en welzijn;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
01AA;Landstede;zorg en welzijn;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;5
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
02PG;Hout en Meubileringscollege Mbo;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
02PG;Hout en Meubileringscollege Mbo;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
02PG;Hout en Meubileringscollege Mbo;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;2
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;7
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;4
02PN;C I B A P Christelijk MBO;techniek;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;economie;2
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;8
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;2
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;6
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;10
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;17
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;2
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;4
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BBL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
08PG;Regionaal Opleidingen Centrum Friese Poort;onbekend;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;2
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;5
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;9
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;8
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
14NZ;ROC Menso Alting;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
14NZ;ROC Menso Alting;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;2
20MQ;Regionaal Opleidingen Centrum Da Vinci College;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;sectoroverstijgend;1
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
23NG;Tio;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
24GE;Business School Notenboom;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
24LK;Leidse Onderwijsinstellingen BV;landbouw;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;4
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;3
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;18
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;3
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BBL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
25EF;Clusius College;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
25GV;Agrarisch Opleidingen Centrum Groenhorst;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;3
25GV;Agrarisch Opleidingen Centrum Groenhorst;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;3
25GV;Agrarisch Opleidingen Centrum Groenhorst;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;2
25LF;Regionaal Opleidingen Centrum Rijn IJssel;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;3
