SCHOOLJAAR 2010-2011 IN HET MBO (peildatum 1 oktober 2010);;;;;SCHOOLJAAR 2011-2012 IN HET HBO (peildatum 1 oktober 2011);;;
BRIN NUMMER ;INSTELLINGSNAAM ;MBO SECTOR;LEERWEG MBO;KWALIFICATIENIVEAU;BRIN NUMMER;INSTELLINGSNAAM ;CROHO ONDERDEEL;AANTAL DOORSTROMERS
02PN;C I B A P Christelijk MBO;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;14
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;3
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
04FO;Regionaal Opleidingen Centrum Koning Willem I;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;4
04FO;Regionaal Opleidingen Centrum Koning Willem I;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;2
04FO;Regionaal Opleidingen Centrum Koning Willem I;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;7
04FO;Regionaal Opleidingen Centrum Koning Willem I;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
14YD;Lentiz onderwijsgroep;landbouw ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
20MQ;Regionaal Opleidingen Centrum Da Vinci College;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;5
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;8
23KG;Grafisch Lyceum Utrecht;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;2
23KG;Grafisch Lyceum Utrecht;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;2
23KG;Grafisch Lyceum Utrecht;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
23KG;Grafisch Lyceum Utrecht;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;17
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25GV;Agrarisch Opleidingen Centrum Groenhorst College;landbouw ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel College;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel College;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;4
25LF;Regionaal Opleidingen Centrum Rijn IJssel College;techniek ;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel College;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel College;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;4
25LF;Regionaal Opleidingen Centrum Rijn IJssel College;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25LG;Regionaal Opleidingen Centrum Friesland College;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LH;Stichting ROC Midden Nederland;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LH;Stichting ROC Midden Nederland;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25LH;Stichting ROC Midden Nederland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25LH;Stichting ROC Midden Nederland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25LN;Regionaal Opleidingen Centrum;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25LN;Regionaal Opleidingen Centrum;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LP;Zadkine;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LP;Zadkine;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LR;Regionaal Opleidingen Centrum Flevoland;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25LU;Regionaal Opleidingen Centrum Alfa College;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;4
25LU;Regionaal Opleidingen Centrum Alfa College;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25LV;Scholengemeenschap De Rooi Pannen;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25LV;Scholengemeenschap De Rooi Pannen;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LV;Scholengemeenschap De Rooi Pannen;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25LW;Stichting voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet onderwijs;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LW;Stichting voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet onderwijs;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25LX;ROC West-Brabant;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LX;ROC West-Brabant;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LZ;Regionaal Opleidingen Centrum Tilburg;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
25MB;Regionaal Opleidingen Centrum Eindhoven;techniek ;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25MB;Regionaal Opleidingen Centrum Eindhoven;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25MB;Regionaal Opleidingen Centrum Eindhoven;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25PJ;Regionaal Opleidingen Centrum Deltion College;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PJ;Regionaal Opleidingen Centrum Deltion College;techniek ;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
25PJ;Regionaal Opleidingen Centrum Deltion College;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25PJ;Regionaal Opleidingen Centrum Deltion College;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;8
25PJ;Regionaal Opleidingen Centrum Deltion College;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25PJ;Regionaal Opleidingen Centrum Deltion College;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;4
25PJ;Regionaal Opleidingen Centrum Deltion College;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PM;Regionaal Opleidingen Centrum A12;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25PM;Regionaal Opleidingen Centrum A12;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25PM;Regionaal Opleidingen Centrum A12;combinatie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PN;Regionaal Opleidingen Centrum Nijmegen eo;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PT;Regionaal Opleidingen Centrum Horizon College;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PV;ROC Zeeland Instelling voor middelbaar beroepsonderwijs en volwassen educatie;economie ;examendeelnemer;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25PW;Regionaal Opleidingen Centrum Drenthe College;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25PW;Regionaal Opleidingen Centrum Drenthe College;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PX;Regionaal Opleidingen Centrum Nova College;techniek ;BBL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25PX;Regionaal Opleidingen Centrum Nova College;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PZ;ROC van Amsterdam;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25PZ;ROC van Amsterdam;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25PZ;ROC van Amsterdam;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PZ;ROC van Amsterdam;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;5
25PZ;ROC van Amsterdam;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;8
25PZ;ROC van Amsterdam;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25RA;Regionaal Opleidingen Centrum Zaanstreek-Waterland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
27GZ;ROC Mondriaan;economie ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
27GZ;ROC Mondriaan;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
27YU;Regionaal Opleidingencentrum van Twente;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
30BC;Stichting SintLucas - De Eindhovense school;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;4
30BC;Stichting SintLucas - De Eindhovense school;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
30BC;Stichting SintLucas - De Eindhovense school;techniek ;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;14
01AA;Landstede;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
01IC;Agrarisch Opleidingen Centrum Oost;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
01NJ;Agrarisch Opleidingcentrum Terra;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;2
01OE;Wellantcollege;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;10
04FO;Regionaal Opleidingen Centrum Koning Willem I;techniek ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
11UL;Edudelta Onderwijsgroep;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
12VI;Agrarisch Opleidingen Centrum Friesland;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
14YD;Lentiz onderwijsgroep;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
21CS;CITAVERDE College;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
21CY;Agrarisch Opleidingen Centrum West Brabant;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;2
24ZZ;Regionaal Opleidingen Centrum Graafschap College;techniek ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
25EF;Clusius College;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
25EF;Clusius College;landbouw ;BBL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
25GV;Agrarisch Opleidingen Centrum Groenhorst College;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;7
25GV;Agrarisch Opleidingen Centrum Groenhorst College;landbouw ;BBL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;2
25LP;Zadkine;zorg en welzijn;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
25LW;Stichting voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet onderwijs;zorg en welzijn;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
25PJ;Regionaal Opleidingen Centrum Deltion College;techniek ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
25PT;Regionaal Opleidingen Centrum Horizon College;zorg en welzijn;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
25PU;Regionaal Opleidingen Centrum Arcus College;zorg en welzijn;BBL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
26CC;Helicon Opleidingen;landbouw ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;16
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;techniek ;BOL;middenkader/specialist;01DZ;Hogere Agrarische Pedagogische Hogeschool;landbouw en natuurlijke omgeving;1
01AA;Landstede;economie ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
01AA;Landstede;landbouw ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;6
01IC;Agrarisch Opleidingen Centrum Oost;landbouw ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;25
01NJ;Agrarisch Opleidingcentrum Terra;landbouw ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;14
01OE;Wellantcollege;landbouw ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;7
04FO;Regionaal Opleidingen Centrum Koning Willem I;economie ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
11UL;Edudelta Onderwijsgroep;landbouw ;BBL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;5
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw ;BBL;vakopleiding;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
21CS;CITAVERDE College;landbouw ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;4
21CY;Agrarisch Opleidingen Centrum West Brabant;landbouw ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;2
21CY;Agrarisch Opleidingen Centrum West Brabant;landbouw ;BBL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;2
23KG;Grafisch Lyceum Utrecht;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25EF;Clusius College;landbouw ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;9
25GV;Agrarisch Opleidingen Centrum Groenhorst College;landbouw ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;48
25GV;Agrarisch Opleidingen Centrum Groenhorst College;landbouw ;BBL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;2
25LH;Stichting ROC Midden Nederland;economie ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;2
25LP;Zadkine;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25LR;Regionaal Opleidingen Centrum Flevoland;zorg en welzijn;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25LU;Regionaal Opleidingen Centrum Alfa College;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25MB;Regionaal Opleidingen Centrum Eindhoven;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25PJ;Regionaal Opleidingen Centrum Deltion College;techniek ;BOL;vakopleiding;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25PJ;Regionaal Opleidingen Centrum Deltion College;zorg en welzijn;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25PT;Regionaal Opleidingen Centrum Horizon College;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25PT;Regionaal Opleidingen Centrum Horizon College;zorg en welzijn;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25PV;ROC Zeeland Instelling voor middelbaar beroepsonderwijs en volwassen educatie;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25PW;Regionaal Opleidingen Centrum Drenthe College;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
25PZ;ROC van Amsterdam;economie ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
26CC;Helicon Opleidingen;landbouw ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;10
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;economie ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;5
27YU;Regionaal Opleidingencentrum van Twente;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;1
28DE;ROC de Leijgraaf;techniek ;BOL;middenkader/specialist;01MY;Chr Agrarische Hogeschool;landbouw en natuurlijke omgeving;2
00GT;Regionaal Opleidingen Centrum Albeda College;economie ;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
01AA;Landstede;economie ;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;economie;2
01AA;Landstede;economie ;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
01AA;Landstede;economie ;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;5
01AA;Landstede;economie ;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;21
01AA;Landstede;economie ;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;3
01AA;Landstede;economie ;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;71
01AA;Landstede;economie ;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;8
01AA;Landstede;economie ;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
01AA;Landstede;economie ;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
01AA;Landstede;economie ;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
01AA;Landstede;techniek ;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;3
01AA;Landstede;techniek ;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;19
01AA;Landstede;techniek ;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;2
