SCHOOLJAAR 2012-2013 IN HET MBO (peildatum 1 oktober 2012);;;;;SCHOOLJAAR 2013-2014 IN HET HBO (peildatum 1 oktober 2013);;;
BRIN NUMMER ;INSTELLINGSNAAM ;MBO SECTOR;LEERWEG MBO;KWALIFICATIENIVEAU;BRIN NUMMER;INSTELLINGSNAAM ;CROHO ONDERDEEL;AANTAL DOORSTROMERS
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;17
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;5
02PG;Hout en Meubileringscollege Mbo;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
02PG;Hout en Meubileringscollege Mbo;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;5
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;8
04EU;Regionaal Opleidingen Centrum Kop van Noord-Holland voor VAVO MBO VW;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
04FO;Koning Willem I College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
04FO;Koning Willem I College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;13
04FO;Koning Willem I College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;11
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;5
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;14
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;5
25GV;Agrarisch Opleidingen Centrum Groenhorst;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25LF;Regionaal Opleidingen Centrum Rijn IJssel;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25LF;Regionaal Opleidingen Centrum Rijn IJssel;economie;examendeelnemer;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;techniek;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;11
25LG;Regionaal Opleidingen Centrum Friesland College;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LG;Regionaal Opleidingen Centrum Friesland College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LH;Stichting ROC Midden Nederland;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;4
25LH;Stichting ROC Midden Nederland;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;4
25LH;Stichting ROC Midden Nederland;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;2
25LH;Stichting ROC Midden Nederland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25LH;Stichting ROC Midden Nederland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25LH;Stichting ROC Midden Nederland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LN;Regionaal Opleidingen Centrum;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LN;Regionaal Opleidingen Centrum;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25LP;Zadkine;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LR;Regionaal Opleidingen Centrum van Flevoland;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LU;Regionaal Opleidingen Centrum Alfa- college;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25LU;Regionaal Opleidingen Centrum Alfa- college;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25LU;Regionaal Opleidingen Centrum Alfa- college;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LU;Regionaal Opleidingen Centrum Alfa- college;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LV;Scholengemeenschap De Rooi Pannen;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25LW;Stichting voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet onderwijs;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LW;Stichting voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet onderwijs;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25LX;ROC West-Brabant;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LX;ROC West-Brabant;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LZ;Regionaal Opleidingen Centrum Tilburg;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25MB;Stg ROC Summa College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PJ;Deltion College;techniek;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;techniek;2
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;3
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;3
25PJ;Deltion College;techniek;examendeelnemer;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PJ;Deltion College;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PL;Regionaal Opleidingen Centrum Leeuwenborgh;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PL;Regionaal Opleidingen Centrum Leeuwenborgh;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PM;Regionaal Opleidingen Centrum A12;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25PT;Regionaal Opleidingen Centrum Horizon College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25PT;Regionaal Opleidingen Centrum Horizon College;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PU;Regionaal Opleidingen Centrum Arcus College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PV;Scalda voor middelbaar beroepsonderwijs en volwasseneneducatie;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PX;Regionaal Opleidingen Centrum Nova College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PX;Regionaal Opleidingen Centrum Nova College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PZ;ROC van Amsterdam;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PZ;ROC van Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25PZ;ROC van Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;7
25PZ;ROC van Amsterdam;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
26CC;Helicon Opleidingen;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
27GZ;ROC Mondriaan;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
27YU;Regionaal Opleidingencentrum van Twente;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
27YU;Regionaal Opleidingencentrum van Twente;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
29ZY;Stichting De Nederlandse Fotovakschool;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
30BC;SiNTLUCAS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
30BC;SiNTLUCAS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;2
30BC;SiNTLUCAS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;7
30BC;SiNTLUCAS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;3
30RM;Stichting ROC TOP;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
30RM;Stichting ROC TOP;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
30RM;Stichting ROC TOP;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
30RN;Stichting Interconfessioneel Beroepsonderwijs Volwasseneneducatie regio Utrecht;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
30RN;Stichting Interconfessioneel Beroepsonderwijs Volwasseneneducatie regio Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
30RN;Stichting Interconfessioneel Beroepsonderwijs Volwasseneneducatie regio Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
30RN;Stichting Interconfessioneel Beroepsonderwijs Volwasseneneducatie regio Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
01AA;Landstede;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;economie;2
01AA;Landstede;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
01AA;Landstede;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;techniek;1
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;52
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;14
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;11
01AA;Landstede;economie;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
01AA;Landstede;economie;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;5
01AA;Landstede;economie;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
01AA;Landstede;techniek;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;6
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;3
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;11
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;3
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;60
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;17
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;23
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;2
01AA;Landstede;zorg en welzijn;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
01AA;Landstede;zorg en welzijn;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;2
01AA;Landstede;zorg en welzijn;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
01AA;Landstede;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
02OV;Leidse Instrumentmakers School;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
02PG;Hout en Meubileringscollege Mbo;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;2
02PG;Hout en Meubileringscollege Mbo;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
02PG;Hout en Meubileringscollege Mbo;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;4
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;3
02PN;C I B A P Christelijk MBO;techniek;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
04FO;Koning Willem I College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
04NZ;SOMA College;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
05EA;Scheepvaart en Transport College;techniek;BBL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;4
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;2
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;6
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;2
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;8
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;5
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;4
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;sectoroverstijgend;1
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;12
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;2
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;2
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
14NZ;ROC Menso Alting;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;3
14NZ;ROC Menso Alting;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
17WH;SVO Opleidingen;economie;BBL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;2
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
23NG;Tio;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
24GE;Business School Notenboom;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;2
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;12
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
25GV;Agrarisch Opleidingen Centrum Groenhorst;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
25GV;Agrarisch Opleidingen Centrum Groenhorst;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;zorg en welzijn;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;2
25LF;Regionaal Opleidingen Centrum Rijn IJssel;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
25LF;Regionaal Opleidingen Centrum Rijn IJssel;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
