SCHOOLJAAR 2011-2012 IN HET MBO (peildatum 1 oktober 2011);;;;;SCHOOLJAAR 2012-2013 IN HET HBO (peildatum 1 oktober 2012);;;
BRIN NUMMER ;INSTELLINGSNAAM ;MBO SECTOR;LEERWEG MBO;KWALIFICATIENIVEAU;BRIN NUMMER;INSTELLINGSNAAM ;CROHO ONDERDEEL;AANTAL DOORSTROMERS
01AA;Landstede;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;4
01AA;Landstede;techniek;examendeelnemer;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
01OE;Wellantcollege;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;13
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;8
02PG;Hout en Meubileringscollege Mbo;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
02PG;Hout en Meubileringscollege Mbo;techniek;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
02PG;Hout en Meubileringscollege Mbo;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;8
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;2
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;10
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
04CY;Regionaal Opleidingen Centrum Rivor;economie;examendeelnemer;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
04FO;Koning Willem I College;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
04FO;Koning Willem I College;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
04FO;Koning Willem I College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;5
04FO;Koning Willem I College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;12
05EL;Regionaal Opleidingen Centrum Westerschelde voor Vavo Bbo Mbo Vw;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;11
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;4
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;3
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;14
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;5
25EF;Clusius College;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25EF;Clusius College;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;4
25LF;Regionaal Opleidingen Centrum Rijn IJssel;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;economie;BBL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;8
25LF;Regionaal Opleidingen Centrum Rijn IJssel;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;2
25LG;Regionaal Opleidingen Centrum Friesland College;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LG;Regionaal Opleidingen Centrum Friesland College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LG;Regionaal Opleidingen Centrum Friesland College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LH;Stichting ROC Midden Nederland;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LH;Stichting ROC Midden Nederland;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25LH;Stichting ROC Midden Nederland;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LH;Stichting ROC Midden Nederland;zorg en welzijn;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25LH;Stichting ROC Midden Nederland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25LH;Stichting ROC Midden Nederland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
25LN;Regionaal Opleidingen Centrum;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LP;Zadkine;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LR;Regionaal Opleidingen Centrum van Flevoland;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LU;Regionaal Opleidingen Centrum Alfa- college;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;3
25LV;Scholengemeenschap De Rooi Pannen;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LV;Scholengemeenschap De Rooi Pannen;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LW;Stichting voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet onderwijs;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25LW;Stichting voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet onderwijs;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25LZ;Regionaal Opleidingen Centrum Tilburg;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LZ;Regionaal Opleidingen Centrum Tilburg;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25MA;Regionaal Opleidingen Centrum Leiden Duin- en Bollenstreek;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25MB;Stg ROC Summa College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25MB;Stg ROC Summa College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25MB;Stg ROC Summa College;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PJ;Deltion College;techniek;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;6
25PJ;Deltion College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;2
25PJ;Deltion College;techniek;examendeelnemer;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PJ;Deltion College;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25PM;Regionaal Opleidingen Centrum A12;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PM;Regionaal Opleidingen Centrum A12;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25PM;Regionaal Opleidingen Centrum A12;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PM;Regionaal Opleidingen Centrum A12;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25PM;Regionaal Opleidingen Centrum A12;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
25PN;Regionaal Opleidingen Centrum Nijmegen eo;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25PT;Regionaal Opleidingen Centrum Horizon College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PU;Regionaal Opleidingen Centrum Arcus College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PV;Scalda voor middelbaar beroepsonderwijs en volwasseneneducatie;economie;BBL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
25PV;Scalda voor middelbaar beroepsonderwijs en volwasseneneducatie;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PX;Regionaal Opleidingen Centrum Nova College;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25PX;Regionaal Opleidingen Centrum Nova College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PZ;ROC van Amsterdam;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
25PZ;ROC van Amsterdam;techniek;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PZ;ROC van Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;3
25PZ;ROC van Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;3
25PZ;ROC van Amsterdam;techniek;examendeelnemer;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25PZ;ROC van Amsterdam;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
25PZ;ROC van Amsterdam;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25RA;Regio College voor Beroepsonderwijs en Educatie Zaanstreek-Waterland;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;economie;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;2
27GZ;ROC Mondriaan;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;2
27GZ;ROC Mondriaan;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
27YU;Regionaal Opleidingencentrum van Twente;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;4
27YU;Regionaal Opleidingencentrum van Twente;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
30BC;SiNTLUCAS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;9
30BC;SiNTLUCAS;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;3
00GT;Regionaal Opleidingen Centrum Albeda College;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;2
00GT;Regionaal Opleidingen Centrum Albeda College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
01AA;Landstede;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;economie;2
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;56
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;10
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;4
01AA;Landstede;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;4
01AA;Landstede;economie;BBL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
01AA;Landstede;economie;examendeelnemer;vakopleiding;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
01AA;Landstede;economie;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
01AA;Landstede;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;7
01AA;Landstede;techniek;examendeelnemer;vakopleiding;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
01AA;Landstede;zorg en welzijn;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;4
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;71
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;12
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;16
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
01AA;Landstede;zorg en welzijn;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
01AA;Landstede;zorg en welzijn;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
01AA;Landstede;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
01AA;Landstede;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;2
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;5
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;5
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;economie;2
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;17
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;2
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;3
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
04EM;Regionaal Opleidingen Centrum Amarantis Onderwijsgroep v Interconfessioneel Ondw;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
04EU;Regionaal Opleidingen Centrum Kop van Noord-Holland voor VAVO MBO VW;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
04NZ;SOMA College;techniek;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;techniek;1
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;economie;1
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;10
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;2
08PG;Regionaal Opleidingen Centrum Friese Poort;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;5
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;7
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;7
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;2
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;6
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;3
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;economie;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;2
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;techniek;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;3
09MR;Hoornbeeck College voor Mbo op Reformatorische Grondslag;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;2
14NZ;ROC Menso Alting;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;techniek;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BOL;vakopleiding;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;economie;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;techniek;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;techniek;BBL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;techniek;examendeelnemer;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gedrag en maatschappij;13
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;gezondheidszorg;3
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;onderwijs;2
25GV;Agrarisch Opleidingen Centrum Groenhorst;landbouw;BOL;middenkader/specialist;01VU;Christelijke Hogeschool Windesheim;economie;1
